NPI_DOC,PFNAME,PLNAME,NPI_ORG,ORG_NAME,DOC_SPECIALTY,DOC_CITY,DOC_COUNTY,DOC_STATE,DOC_ZIP
1720097520,DENNIS,EASTMAN,1376598904,COVENANT MEDICAL GROUP,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,LUBBOCK,"Lubbock ",TX,79410
1619068012,SYED,YUSUF,1073574810,PHYSICIANS REFERRAL SERVICE,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1477501724,GARY,WEINGARDEN,1437160215,"HEARTPLACE, PA",Cardiovascular Disease Physician,RICHARDSON,"Dallas ",TX,75080
1861487274,KENNETH,KUMMERFELD,1285684225,CHRISTUS TRINITY CLINIC,Interventional Cardiology Physician,TYLER,"Smith ",TX,75701
1649326521,MICHELE,DI BLASI,1730851585,VAL VERDE HOSPITAL CORPORATION,Interventional Cardiology Physician,DEL RIO,"Val Verde ",TX,78840
1467454736,JAMES,RICHARDSON,1861550394,"CARDIOLOGY PARTNERS, LLP",Cardiovascular Disease Physician,MANSFIELD,"Tarrant ",TX,76063
1225019136,CESAR,DELAGUILA,1710006184,CESAR DELAGUILA,Cardiovascular Disease Physician,NACOGDOCHES,"Nacogdoches ",TX,75965
1164490074,PAULRAJAN,MANOHARAN,1588008247,RENAISSANCE CARDIOLOGY GROUP,Cardiovascular Disease Physician,MCALLEN,"Hidalgo ",TX,78503
1720066806,SOE-NI,KONG,1720067358,CLINICS OF NORTH TEXAS LLP,Interventional Cardiology Physician,WICHITA FALLS,"Wichita ",TX,76302
1578563805,RICHARD,ALEXANDER,1306846464,TSA-TEXAS SURGICAL ASSOCIATES LLP,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,HOUSTON,"Harris ",TX,77074
1710271242,DONGXIA,FENG,1093779704,SCOTT & WHITE CLINIC,Nuclear Cardiology Physician,TEMPLE,"Bell ",TX,76508
1598099327,ILYAS,KHAN,1740485879,"BAYLOR ST. LUKE'S MEDICAL GROUP",Cardiovascular Disease Physician,LUFKIN,"Angelina ",TX,75904
1447516174,RYAN,MACK,1700887700,"ST DAVIDS HEART & VASCULAR, PLLC",Cardiovascular Disease Physician,GEORGETOWN,"Williamson ",TX,78626
1134320245,RAJESH,RAMINENI,1396935714,"ADNAN AFZAL, MD PA",Interventional Cardiology Physician,CONROE,"Montgomery ",TX,77304
1861540726,SHERWIN,ATTAI,1982607735,WACO CARDIOLOGY ASSOCIATES,Interventional Cardiology Physician,WACO,"McLennan ",TX,76712
1073717856,MATTHIAS,PELTZ,1548215247,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,DALLAS,"Dallas ",TX,75390
1922033869,SONIA,LAHOTI,1225288673,CARDIOVASCULAR CLINIC OF TEXAS,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77054
1497097984,NICHOLAS,MACPHERSON,1609338508,CONNECTED CARDIOVASCULAR CARE ASSOCIATES PLLC,Cardiovascular Disease Physician,DALLAS,"Dallas ",TX,75230
1306025143,ALIREZA,NAZERI,1548881808,MOBITZ HEART AND RHYTHM CENTER PLLC,Clinical Cardiac Electrophysiology Physician,HOUSTON,"Harris ",TX,77030
1629079017,JERRY,GILBERT,1700887700,"ST DAVIDS HEART & VASCULAR, PLLC",Interventional Cardiology Physician,ROUND ROCK,"Williamson ",TX,78681
1588679443,EDIBERTO,SOTO-CORA,1598958431,"BHS PHYSICIANS NETWORK, INC",Cardiovascular Disease Physician,EL PASO,"El Paso ",TX,79925
1295939262,CLYDE,SULLIVAN,1356765556,"SCL HEALTH MEDICAL GROUP - GRAND JUNCTION, LLC",Cardiovascular Disease Physician,MCKINNEY,"Collin ",TX,75070
1114142403,SIVA,SONTINENI,1508242058,"SIVA P SONTINENI,MD,PA.",Interventional Cardiology Physician,DENTON,"Denton ",TX,76201
1255942918,TRISHA,ROY,1275779225,TMH PHYSICIAN ASSOCIATES PLLC,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1164625760,PETER,MONTELEONE,1588997233,SETON FAMILY OF DOCTORS,Interventional Cardiology Physician,KYLE,"Hays ",TX,78640
1477849461,KEVIN,OGUAYO,1780708321,MEHTA MEDICAL GROUP PLLC,Interventional Cardiology Physician,HUMBLE,"Harris ",TX,77346
1598789117,NEELAN,DOOLABH,1548215247,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,TYLER,"Smith ",TX,75701
1275505570,MARC,SCHWARTZ,1871666271,CENTRAL TEXAS HEART CENTER,Cardiovascular Disease Physician,BRYAN,"Brazos ",TX,77802
1154384881,FARHANA,KAZI,1457759771,"AFFINITY HEART CARE, PA",Cardiovascular Disease Physician,COPPELL,"Dallas ",TX,75019
1407891807,SHERIF,NAGUEH,1275779225,TMH PHYSICIAN ASSOCIATES PLLC,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1083644652,DAVID,MCPHERSON,1033157821,UT PHYSICIANS,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1457339640,AHMED,AHMED,1497085815,AHMED CARDIOLOGY PA,Cardiovascular Disease Physician,WEBSTER,"Harris ",TX,77598
1154685279,HAIDER,ALWASH,1942241146,UTMB FACULTY GROUP PRACTICE,Interventional Cardiology Physician,GALVESTON,"Galveston ",TX,77555
1043298391,FARDIN,DJAFARI,1588974380,FARDIN DJAFARI MD PLLC,Cardiovascular Disease Physician,WICHITA FALLS,"Wichita ",TX,76301
1154617355,MAYTHAM,AL-KUBAISI,1578883187,"FETAL CARE CONSULTANTS, LLC.",Pediatric Cardiology Physician,DALLAS,"Dallas ",TX,75230
1457649592,KARIM,AL-AZIZI,1003811639,HEALTHTEXAS PROVIDER NETWORK,Cardiovascular Disease Physician,PLANO,"Collin ",TX,75024
1871671891,MICHAEL,ALMALEH,1386948677,"WELLMED NETWORKS, INC.",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78229
1790715035,MICHAEL,SIROPAIDES,1720550015,RAJIV AGARWAL MD PA,Cardiovascular Disease Physician,HUMBLE,"Harris ",TX,77346
1891831020,PHILLIP,BURKET,1700887700,"ST DAVIDS HEART & VASCULAR, PLLC",Cardiovascular Disease Physician,LA GRANGE,"Fayette ",TX,78945
1518134329,NEELIMA,PALADUGU,1548307895,TARRANT  CARDIOLOGY PA,Clinical Cardiac Electrophysiology Physician,FORT WORTH,"Tarrant ",TX,76104
1851568968,DAVID,LOFTHUS,1760488936,HEALTHTEXAS PROVIDER NETWORK,Cardiovascular Disease Physician,DALLAS,"Dallas ",TX,75226
1982864435,THOMAS,PERCIVAL,1720051717,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,SAN ANTONIO,"Bexar ",TX,78229
1982701652,LEONARD,THOME,1700121753,"LEONARD M. THOME, M.D., P.A.",Cardiovascular Disease Physician,PORT ARTHUR,"Jefferson ",TX,77642
1528065893,RAMACHANDRA,KOLLURU,1285794289,"RAM KOLLURU,M.D.PA",Cardiovascular Disease Physician,ODESSA,"Ector ",TX,79761
1760467450,BONNIE,FLOYD,1306953195,FLOYD CARDIOLOGY ASSOCIATES,Interventional Cardiology Physician,DALLAS,"Dallas ",TX,75230
1194783274,YUVARAJ,KUMAR,1780076562,"ACCLAIM PHYSICIAN GROUP, INC",Cardiovascular Disease Physician,FORT WORTH,"Tarrant ",TX,76104
1588659890,ROBERTO,ROBLES,1023078078,"HEART INSTITUTE OF BROWNSVILLE,LLP",Cardiovascular Disease Physician,BROWNSVILLE,"Cameron ",TX,78520
1891762787,JON,HADDAD,1649247396,"AMARILLO HEART GROUP, LLP",Cardiovascular Disease Physician,AMARILLO,"Potter ",TX,79106
1184605354,THOMAS,MACGILLIVRAY,1275779225,TMH PHYSICIAN ASSOCIATES PLLC,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,HOUSTON,"Harris ",TX,77030
1912911587,SALMAN,MALIK,1376605568,CARDIOVASCULAR CLINIC OF NORTH TEXAS PA,Cardiovascular Disease Physician,DENTON,"Denton ",TX,76201
1184747206,SAMIA,GEEVARGHESE,1770587149,SHANNON CLINIC,Cardiovascular Disease Physician,SAN ANGELO,"Tom Green ",TX,76903
1295902047,DAT,NGUYEN,1336388206,"MORDECAI N. KLEIN, MD, PA",Cardiovascular Disease Physician,PLANO,"Collin ",TX,75093
1841293370,JAMES,GRATTAN,1497014369,TEXAS PHYSICIANS GROUP,Cardiovascular Disease Physician,LUBBOCK,"Lubbock ",TX,79416
1801863634,MANISH,ASSAR,1760488936,HEALTHTEXAS PROVIDER NETWORK,Clinical Cardiac Electrophysiology Physician,DALLAS,"Dallas ",TX,75226
1972890994,MANJUSHA,ANNA,1487965000,"CARDIOLOGY CLINIC OF SAN ANTONIO, PLLC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78229
1477754190,VASSILIS,DIMAS,1780076562,"ACCLAIM PHYSICIAN GROUP, INC",Clinical Cardiac Electrophysiology Physician,FORT WORTH,"Tarrant ",TX,76104
1023007085,MANOHAR,ANGIREKULA,1649391269,MCH PROFESSIONAL CARE,Cardiovascular Disease Physician,ODESSA,"Ector ",TX,79761
1447288022,CHANDRASEKHAR,KUNAVARAPU,1922252717,"METHODIST PHYSICIAN PRACTICES, PLLC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78229
1124095161,RAJA,NAIDU,1285664763,PERMIAN PREMIER HEALTH SERVICES INC,Cardiovascular Disease Physician,ODESSA,"Ector ",TX,79761
1225010317,LAWRENCE,BRENNER,1326415035,"CORPUS CHRISTI HEART CLINIC, PLLC",Cardiovascular Disease Physician,CORPUS CHRISTI,"Nueces ",TX,78404
1619976966,JACK,SPITZBERG,1053767897,TEXAS HEALTH PHYSICIANS GROUP,Cardiovascular Disease Physician,DALLAS,"Dallas ",TX,75231
1598710501,TUNG,CAI,1003811639,HEALTHTEXAS PROVIDER NETWORK,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,DENTON,"Denton ",TX,76201
1811959125,ALI,RIZVI,1275779225,TMH PHYSICIAN ASSOCIATES PLLC,Interventional Cardiology Physician,SHENANDOAH,"Montgomery ",TX,77385
1659639433,PHUONG TRAM,LE,1093779704,SCOTT & WHITE CLINIC,Cardiovascular Disease Physician,WACO,"McLennan ",TX,76712
1841309341,CHRIS,CHEN,1063522076,CHRIS XIAOGUANG CHEN MD PA,Cardiovascular Disease Physician,SUGAR LAND,"Fort Bend ",TX,77478
1225339856,GEORGE,DAVIS,1669617106,MERCY MEDICAL CENTER,Cardiovascular Disease Physician,WICHITA FALLS,"Wichita ",TX,76308
1558676841,YASIR,AKRAM,1982253688,EPIC HEART & VASCULAR CENTER PLLC,Cardiovascular Disease Physician,TOMBALL,"Harris ",TX,77375
1164497871,WENDELL,PHILLIPS,1609382662,ETMC PHYSICIAN GROUP INC.,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,TYLER,"Smith ",TX,75701
1760467468,PAUL,ROACH,1588997233,SETON FAMILY OF DOCTORS,Interventional Cardiology Physician,AUSTIN,"Travis ",TX,78705
1720076664,JOEL,OSBORN,1376598771,CARDIOLOGY CENTER OF AMARILLO,Cardiovascular Disease Physician,AMARILLO,"Potter ",TX,79106
1528086162,MARC,MOON,1174563662,WASHINGTON UNIVERSITY,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,HOUSTON,"Harris ",TX,77030
1942294715,ALEXANDER,DRTIL,1497749154,HOUSTON ARRHYTHMIA ASSOCIATES PA,Clinical Cardiac Electrophysiology Physician,HOUSTON,"Harris ",TX,77024
1164558540,RENE,QUIROZ,1487965000,"CARDIOLOGY CLINIC OF SAN ANTONIO, PLLC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78229
1790078079,LAMIN,BANGURA,1275173379,"HOUSTON CARDIOTHORACIC AND VEIN SURGEONS, PLLC",Interventional Cardiology Physician,HOUSTON,"Harris ",TX,77002
1902897341,ELAINE,MALDONADO,1720051717,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,Pediatric Cardiology Physician,SAN ANTONIO,"Bexar ",TX,78229
1972704690,SUNITA,KOSHY-NESBITT,1760452767,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,Clinical Cardiac Electrophysiology Physician,DALLAS,"Dallas ",TX,75235
1902059447,KIM,DE LA CRUZ,1922252717,"METHODIST PHYSICIAN PRACTICES, PLLC",Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,SAN ANTONIO,"Bexar ",TX,78229
1063523223,NEIL,PHUNG,1063518561,TEXAS CARDIOLOGY ASSOCIATES,Cardiovascular Disease Physician,RICHARDSON,"Dallas ",TX,75080
1841327210,STUART,JACOBSON,1669505095,MEMORIAL CARDIOLOGY ASSOCIATES PA,Cardiovascular Disease Physician,WACO,"McLennan ",TX,76712
1447254024,HUGO,BLAKE,1447639265,HMC RGV PHYSICIANS GROUP,Cardiovascular Disease Physician,HARLINGEN,"Cameron ",TX,78550
1871852293,SOLOMON,SPIEGEL,1003811639,HEALTHTEXAS PROVIDER NETWORK,Interventional Cardiology Physician,DENTON,"Denton ",TX,76210
1447469077,ANDREW,KONTAK,1093779704,SCOTT & WHITE CLINIC,Cardiovascular Disease Physician,ROUND ROCK,"Williamson ",TX,78665
1376704510,PARIN,PARIKH,1053767897,TEXAS HEALTH PHYSICIANS GROUP,Interventional Cardiology Physician,DALLAS,"Dallas ",TX,75231
1619080843,KESAVAN,SHAN,1275779225,TMH PHYSICIAN ASSOCIATES PLLC,Cardiovascular Disease Physician,SUGAR LAND,"Fort Bend ",TX,77479
1770509168,RAMESH,HARIHARAN,1033157821,UT PHYSICIANS,Clinical Cardiac Electrophysiology Physician,CORPUS CHRISTI,"Nueces ",TX,78404
1689898819,JOSHUA,DURHAM,1598958431,"BHS PHYSICIANS NETWORK, INC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78258
1538120969,AJAY,TRIPURANENI,1902827272,LEGACY CLINICS LLC,Clinical Cardiac Electrophysiology Physician,TEMPLE,"Bell ",TX,76508
1942301619,YAMIL,AUDE,1790125698,"HEART AND VASCULAR SPECIALISTS OF SOUTH TEXAS, PLLC",Cardiovascular Disease Physician,MCALLEN,"Hidalgo ",TX,78503
1598053092,JUAN,ABREU,1033157821,UT PHYSICIANS,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,HOUSTON,"Harris ",TX,77024
1356590970,AHMED,SOLIMAN,1275779225,TMH PHYSICIAN ASSOCIATES PLLC,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1558688739,DUY,NGUYEN,1720051717,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,SAN ANTONIO,"Bexar ",TX,78229
1841370285,JOSE,DIEZ,1881026664,BAYLOR COLLEGE OF MEDICINE,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1831154632,MICHAEL,WAIT,1548215247,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,DALLAS,"Dallas ",TX,75390
1336330570,MINI,SIVADASAN,1912957200,MEDHEALTH,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,DALLAS,"Dallas ",TX,75237
1124096706,HERSCHL,SILBERMAN,1588008247,RENAISSANCE CARDIOLOGY GROUP,Cardiovascular Disease Physician,MCALLEN,"Hidalgo ",TX,78503
1710986302,BAL,REDDY,1922252717,"METHODIST PHYSICIAN PRACTICES, PLLC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78224
1114931110,ASLAN,TURER,1760452767,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,Interventional Cardiology Physician,DALLAS,"Dallas ",TX,75390
1760417026,AMIT,GUTTIGOLI,1356892558,"PREMIER CARDIOVASCULAR CARE OF DALLAS, PLLC",Cardiovascular Disease Physician,DUNCANVILLE,"Dallas ",TX,75116
1407029689,TIMOTHY,DAO,1417117912,"HEARTPLACE, PA",Interventional Cardiology Physician,PLANO,"Collin ",TX,75075
1093764284,DAVID,LADDEN,1861962003,"BROWNSVILLE SURGERY, PLLC",Cardiovascular Disease Physician,LUFKIN,"Angelina ",TX,75904
1235138306,BRIAN,LE,1053767897,TEXAS HEALTH PHYSICIANS GROUP,Clinical Cardiac Electrophysiology Physician,DALLAS,"Dallas ",TX,75231
1699096354,EVAN,HARDEGREE,1396961322,HENDRICK PROVIDER NETWORK,Cardiovascular Disease Physician,ABILENE,"Taylor ",TX,79601
1730164526,JOHN,JAYACHANDRAN,1801939244,"FORT WORTH HEART, P.A.",Clinical Cardiac Electrophysiology Physician,FORT WORTH,"Tarrant ",TX,76104
1699775627,PAUL,COFFEEN,1700887700,"ST DAVIDS HEART & VASCULAR, PLLC",Clinical Cardiac Electrophysiology Physician,AUSTIN,"Travis ",TX,78756
1356532261,CHUN,LIN,1275779225,TMH PHYSICIAN ASSOCIATES PLLC,Adult Congenital Heart Disease Physician,HOUSTON,"Harris ",TX,77030
1336148550,KENNETH,SALAND,1992151740,TEXAS HEALTH PHYSICIANS GROUP,Interventional Cardiology Physician,DALLAS,"Dallas ",TX,75231
1396724373,PETER,CHEUNG,1093779704,SCOTT & WHITE CLINIC,Clinical Cardiac Electrophysiology Physician,TEMPLE,"Gregg ",TX,75608
1154385482,LANOARD,BAYOUTH,1639132251,DCF,Cardiovascular Disease Physician,ABILENE,"Taylor ",TX,79606
1821059569,SCOTT,REZNIK,1548215247,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,DALLAS,"Dallas ",TX,75390
1215906979,OBINNA,ISIGUZO,1922252717,"METHODIST PHYSICIAN PRACTICES, PLLC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78201
1629070362,RICHARD,FEINGOLD,1235135906,HEALTHTEXAS PROVIDER NETWORK,Cardiovascular Disease Physician,GRAPEVINE,"Tarrant ",TX,76051
1356343867,DAVID,EISEN,1174573596,TEXAS HEALTH PHYSICIANS GROUP,Interventional Cardiology Physician,BEDFORD,"Tarrant ",TX,76022
1891734083,SANJAY,BHARGAVA,1801939244,"FORT WORTH HEART, P.A.",Interventional Cardiology Physician,FORT WORTH,"Tarrant ",TX,76104
1275790149,DAVE,CHAWLA,1093779704,SCOTT & WHITE CLINIC,Cardiovascular Disease Physician,MARBLE FALLS,"Burnet ",TX,78654
1629215587,SRUJANA,CHAKILAM,1396762357,"HEART CENTER OF NORTH TEXAS, PA",Cardiovascular Disease Physician,FORT WORTH,"Tarrant ",TX,76104
1891055794,HAIDER,ALKHATEEB,1598705055,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER EL PASO,Cardiovascular Disease Physician,EL PASO,"El Paso ",TX,79905
1659341485,LUISA,GAN,1033551312,DALLAS MEDICAL PHYSICIAN GROUP,Cardiovascular Disease Physician,MESQUITE,"Dallas ",TX,75150
1235333816,SHREYAS,MODI,1942241146,UTMB FACULTY GROUP PRACTICE,Cardiovascular Disease Physician,GALVESTON,"Galveston ",TX,77555
1962847947,JOSEPH,STAFFORD,1093779704,SCOTT & WHITE CLINIC,Cardiovascular Disease Physician,TEMPLE,"Bell ",TX,76508
1164484374,SHONALATHA,SUDARSHAN,1013986470,"SRIRAM & SHONALATHA SUDARSHAN NORTH TEXAS CARDIOLOGY CENTER, LLP",Cardiovascular Disease Physician,WICHITA FALLS,"Wichita ",TX,76301
1225011109,JOSE,FONT-CORDOBA,1922252717,"METHODIST PHYSICIAN PRACTICES, PLLC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78212
1871532531,NORMAN,RAMIREZ,1245548759,"RIO GRANDE VALLEY CARDIOLOGY, PLLC",Cardiovascular Disease Physician,EDINBURG,"Hidalgo ",TX,78539
